"0000014c-47f6-d0b2-a3cf-4ffff7000000","Jesus Chavez","Jesus Chavez","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff00720001","Sergio Ponce","Sergio Ponce","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff078f0001","Francisco León","Francisco León","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff0ee20000","Carlos Elizalde","Carlos Elizalde","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff166c0000","José Luis Chávez","José Luis Chávez","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff1e5c0001","Aldo Leão Ramírez","Aldo Leão Ramírez","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff267e0001","Carlos Treviño","Carlos Treviño","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff2f1e0001","Arturo González","Arturo González","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff38a30000","Rodolfo Vilchis","Rodolfo Vilchis","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff41750001","Juan Hernández","Juan Hernández","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff4a8d0000","Edy Brambila","Edy Brambila","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff52ba0000","Rodrigo Millar","Rodrigo Millar","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff59f40001","Pablo Mascareñas","Pablo Mascareñas","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff61850001","Juan Carlos Medina","Juan Carlos Medina","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff69720001","Luis Caballero","Luis Caballero","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff71810001","Maikon Fernando Souza Leite","Maikon Fernando Souza Leite","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff79eb0000","Édson Ulises Rivera Vargas","Édson Ulises Rivera Vargas","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff82670001","Jahir Barraza","Jahir Barraza","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff8bc00000","Enrique Esqueda","Enrique Esqueda","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fff950a0001","Martín Barragán","Martín Barragán","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fffa28d0001","César Lozano","César Lozano","null","false","false"
"0000014c-47f7-d0b2-a3cf-4fffaa5a0001","Óscar Jiménez","Óscar Jiménez","null","false","false"
